GetEntireProposalFormDTO;GetEntireProposalFormDTO.ItemID;GetEntireProposalFormDTO.FormFieldID;GetEntireProposalFormDTO.Label;GetEntireProposalFormDTO.SubLabel;GetEntireProposalFormDTO.Order;GetEntireProposalFormDTO.WithMargin;GetEntireProposalFormDTO.GroupID;GetEntireProposalFormDTO.RelatedTo;GetEntireProposalFormDTO.SelectItems;GetEntireProposalFormDTO.SelectStartItems;GetEntireProposalFormDTO.SelectFinishItems;GetEntireProposalFormDTO.CounterMinValue;GetEntireProposalFormDTO.CounterMaxValue;GetEntireProposalFormDTO.ValueType;GetEntireProposalFormDTO.Value_StartTime;GetEntireProposalFormDTO.Value_FinishTime;GetEntireProposalFormDTO.Value_Use;GetEntireProposalFormDTO.Value_Quantity;GetEntireProposalFormDTO.Value_List;GetEntireProposalFormDTO.Price;GetEntireProposalFormDTO.Enabled;GetEntireProposalFormDTO.Collapsable;GetEntireProposalFormDTO.Deletable;GetEntireProposalFormDTO.ErrosQtd;GetEntireProposalFormDTO.Error
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;1;0;"Informações base";"";1;False;1;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;2;1;Unidade;"";2;False;1;0;"[{""id"":2,""description"":""Appito Arena Limão""}, 
 {""id"":1,""description"":""Arena Leopoldina""}]";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;4;1;"Tipo de evento";"";4;False;1;0;"[{""id"":1,""description"":""Aniversário Infantil""}, 
 {""id"":3,""description"":""Pacote Churrasqueira""}, 
 {""id"":4,""description"":""Pacote Marketing""}, 
 {""id"":5,""description"":""Evento Mensalista""}, 
 {""id"":2,""description"":""Evento Corporativo""}]";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;5;1;Espaço;"";5;True;1;4;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;7;4;"Total de convidados";"Todos com 5 anos ou mais";7;False;1;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;8;4;Adultos;"18 anos ou mais";8;True;1;7;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;9;4;Crianças;"Entre 5 e 17 anos";9;True;1;7;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;11;2;Data;"";11;False;1;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;13;5;Horário;"";13;False;1;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;14;0;Espaços;"";2;False;14;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;15;6;"";"";1;False;14;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;18;0;"Alimentação e bebidas";"";3;False;18;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;19;3;"Bebida não-acoólica";"";1;False;18;0;"";"[""09:00"",""09:30"",""10:00""]";"[""09:00"",""09:30"",""10:00""]";0;0;H;00:00:00;00:00:00;False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;20;5;Horário;"";2;True;18;19;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;22;1;"Bebida acoólica";"";4;False;18;0;"[{""id"":1,""description"":""Não""}, 
 {""id"":2,""description"":""Cerveja a vontade""}, 
 {""id"":3,""description"":""Drinks a vontade""}, 
 {""id"":4,""description"":""Cerveja + drinks a vontade""}]";"[""09:00"",""09:30"",""10:00""]";"[""09:00"",""09:30"",""10:00""]";0;0;H;00:00:00;00:00:00;False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;23;5;Horário;"";5;True;18;22;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;25;1;Alimentação;"";7;False;18;0;"[{""id"":5,""description"":""Sem comida""}, 
 {""id"":6,""description"":""Lanchinho""}, 
 {""id"":7,""description"":""Espeto Simples""}, 
 {""id"":8,""description"":""Espeto com acompanhamento""}, 
 {""id"":9,""description"":""Peças com acompanhamento""}]";"[""09:00"",""09:30"",""10:00""]";"[""09:00"",""09:30"",""10:00""]";0;0;H;00:00:00;00:00:00;False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;26;5;Horário;"";8;True;18;25;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;27;1;"Tipo de pão";"";9;True;18;25;"";"";"";0;0;B;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;28;7;Sabores;"Selecione até 3";10;True;18;25;"";"";"";0;0;L;"";"";False;0;"[1, 2]";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;31;3;"Bolo e doces";"";13;False;18;0;"";"";"";0;0;B;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;32;1;"Sabor do bolo";"";14;True;18;31;"";"";"";0;0;B;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;33;7;Doces;"Selecione os sabores a incluir";15;True;18;31;"";"";"";0;0;L;"";"";False;0;"[1, 2]";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;36;0;Serviços;"";4;False;36;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;37;4;"Garçom (bebidas)";"";1;False;36;0;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;38;5;Horário;"";2;True;36;37;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;40;4;"Garçom alimentação";"";4;False;36;0;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;41;5;Horário;"";5;True;36;40;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;43;4;Churrasqueiro;"";7;False;36;0;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;44;5;Horário;"";8;True;36;43;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;46;3;"Decoração de aniversário";"";10;False;36;0;"";"";"";0;0;B;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;47;1;Tema;"";11;True;36;46;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;49;1;"Aniversário FC";"";13;False;36;0;"";"";"";0;0;B;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;50;5;Horário;"";14;True;36;49;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;51;4;"Convidados participantes";"";15;True;36;49;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;52;4;Monitores;"";16;True;36;49;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;53;3;"Túnel de acesso";"";17;True;36;49;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;55;0;Extras;"";5;True;55;0;"";"";"";0;0;"";"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;56;4;Medalhas;"";1;False;55;0;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;58;4;"Troféu pequeno";"";3;False;55;0;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
Appito.Events.Domain.Models.Outputs.GetEntireProposalFormDTO;60;4;"Troféu grande";"";5;False;55;0;"";"";"";0;50;Q;"";"";False;0;"";0.00;True;False;True;0;""
